Subject,ML Score,MERCI Score,BLAST Score,Hybrid Score,Prediction
Pep_868,0.701,0,0,0.701,Toxin
Pep_869,0.733,0,0,0.733,Toxin
Pep_870,0.95,0,0,0.95,Toxin
Pep_871,0.866,0,0,0.866,Toxin
Pep_872,0.846,0,0,0.846,Toxin
Pep_873,0.641,0,0,0.641,Toxin
Pep_874,0.863,0,0,0.863,Toxin
Pep_875,0.879,0,0,0.879,Toxin
Pep_876,0.782,0,0,0.782,Toxin
Pep_877,0.747,0,0,0.747,Toxin
Pep_878,0.748,0,0,0.748,Toxin
Pep_879,0.56,0,0,0.56,Non-Toxin
Pep_880,0.551,0,0,0.551,Non-Toxin
Pep_881,0.693,0,0,0.693,Toxin
Pep_882,0.692,0,0,0.692,Toxin
Pep_883,0.621,0,0,0.621,Toxin
Pep_884,0.804,0,0,0.804,Toxin
Pep_885,0.789,0,0,0.789,Toxin
Pep_886,0.629,0,0,0.629,Toxin
Pep_887,0.609,0,0,0.609,Toxin
Pep_888,0.617,0,0,0.617,Toxin
Pep_889,0.599,0,0,0.599,Non-Toxin
Pep_890,0.549,0,0,0.549,Non-Toxin
Pep_891,0.665,0,0,0.665,Toxin
Pep_892,0.476,0,0,0.476,Non-Toxin
Pep_893,0.455,0,0,0.455,Non-Toxin
Pep_894,0.661,0,0,0.661,Toxin
Pep_895,0.602,0,0,0.602,Toxin
Pep_896,0.618,0,0,0.618,Toxin
Pep_897,0.554,0,0,0.554,Non-Toxin
Pep_898,0.771,0,0,0.771,Toxin
Pep_899,0.746,0,0,0.746,Toxin
Pep_900,0.714,0,0,0.714,Toxin
Pep_901,0.591,0,0,0.591,Non-Toxin
Pep_902,0.755,0,0,0.755,Toxin
Pep_903,0.656,0,0,0.656,Toxin
Pep_904,0.516,0,0,0.516,Non-Toxin
Pep_905,0.392,0,0,0.392,Non-Toxin
Pep_906,0.387,0,0,0.387,Non-Toxin
Pep_907,0.721,0,0,0.721,Toxin
Pep_908,0.803,0,0,0.803,Toxin
Pep_909,0.834,0,0,0.834,Toxin
Pep_910,0.741,0,0,0.741,Toxin
Pep_911,0.713,0,0,0.713,Toxin
Pep_912,0.868,0,0,0.868,Toxin
Pep_913,0.531,0,0,0.531,Non-Toxin
Pep_914,0.502,0,0,0.502,Non-Toxin
Pep_915,0.612,0,0,0.612,Toxin
Pep_916,0.611,0,0,0.611,Toxin
Pep_917,0.549,0,0,0.549,Non-Toxin
Pep_918,0.616,0,0,0.616,Toxin
Pep_919,0.6,0,0,0.6,Non-Toxin
Pep_920,0.684,0,0,0.684,Toxin
Pep_921,0.675,0,0,0.675,Toxin
Pep_922,0.604,0,0,0.604,Toxin
Pep_923,0.624,0,0,0.624,Toxin
Pep_924,0.618,0,0,0.618,Toxin
Pep_925,0.855,0,0,0.855,Toxin
Pep_926,0.511,0,0,0.511,Non-Toxin
Pep_927,0.445,0,0,0.445,Non-Toxin
Pep_928,0.561,0,0,0.561,Non-Toxin
Pep_929,0.564,0,0,0.564,Non-Toxin
Pep_930,0.656,0,0,0.656,Toxin
Pep_931,0.858,0,0,0.858,Toxin
Pep_932,0.449,0,0,0.449,Non-Toxin
Pep_933,0.413,0,0,0.413,Non-Toxin
Pep_934,0.522,0,0,0.522,Non-Toxin
Pep_935,0.679,0,0,0.679,Toxin
Pep_936,0.619,0,0,0.619,Toxin
Pep_937,0.558,0,0,0.558,Non-Toxin
Pep_938,0.554,0,0,0.554,Non-Toxin
Pep_939,0.59,0,0,0.59,Non-Toxin
Pep_940,0.569,0,0,0.569,Non-Toxin
Pep_941,0.618,0,0,0.618,Toxin
Pep_942,0.766,0,0,0.766,Toxin
Pep_943,0.522,0,0,0.522,Non-Toxin
Pep_944,0.617,0,0,0.617,Toxin
Pep_945,0.52,0,0,0.52,Non-Toxin
Pep_946,0.657,0,0,0.657,Toxin
Pep_947,0.935,0,0,0.935,Toxin
Pep_948,0.535,0,0,0.535,Non-Toxin
Pep_949,0.538,0,0,0.538,Non-Toxin
Pep_950,0.589,0,0,0.589,Non-Toxin
Pep_951,0.705,0,0,0.705,Toxin
Pep_952,0.672,0,0,0.672,Toxin
Pep_953,0.739,0,0,0.739,Toxin
Pep_954,0.947,0,0,0.947,Toxin
Pep_955,0.752,0,0,0.752,Toxin
Pep_956,0.73,0,0,0.73,Toxin
Pep_957,0.721,0,0,0.721,Toxin
Pep_958,0.532,0,0,0.532,Non-Toxin
Pep_959,0.54,0,0,0.54,Non-Toxin
Pep_960,0.645,0,0,0.645,Toxin
Pep_961,0.508,0,0,0.508,Non-Toxin
Pep_962,0.89,0,0,0.89,Toxin
Pep_963,0.596,0,0,0.596,Non-Toxin
Pep_964,0.569,0,0,0.569,Non-Toxin
Pep_965,0.587,0,0,0.587,Non-Toxin
Pep_966,0.666,0,0,0.666,Toxin
Pep_967,0.57,0,0,0.57,Non-Toxin
Pep_968,0.594,0,0,0.594,Non-Toxin
Pep_969,0.64,0,0,0.64,Toxin
Pep_970,0.563,0,0,0.563,Non-Toxin
Pep_971,0.55,0,0,0.55,Non-Toxin
Pep_972,0.737,0,0,0.737,Toxin
Pep_973,0.652,0,0,0.652,Toxin
Pep_974,0.719,0,0,0.719,Toxin
Pep_975,0.849,0,0,0.849,Toxin
Pep_976,0.877,0,0,0.877,Toxin
Pep_977,0.835,0,0,0.835,Toxin
Pep_978,0.824,0,0,0.824,Toxin
Pep_979,0.564,0,0,0.564,Non-Toxin
Pep_980,0.603,0,0,0.603,Toxin
Pep_981,0.702,0,0,0.702,Toxin
Pep_982,0.886,0,0,0.886,Toxin
Pep_983,0.905,0,0,0.905,Toxin
Pep_984,0.87,0,0,0.87,Toxin
Pep_985,0.916,0,0,0.916,Toxin
Pep_986,0.923,0,0,0.923,Toxin
Pep_987,0.951,0,0,0.951,Toxin
Pep_988,0.78,0,0,0.78,Toxin
Pep_989,0.798,0,0,0.798,Toxin
Pep_990,0.889,0,0,0.889,Toxin
Pep_991,0.88,0,0,0.88,Toxin
Pep_992,0.929,0,0,0.929,Toxin
Pep_993,0.591,0,0,0.591,Non-Toxin
Pep_994,0.582,0,0,0.582,Non-Toxin
Pep_995,0.573,0,0,0.573,Non-Toxin
Pep_996,0.572,0,0,0.572,Non-Toxin
Pep_997,0.764,0,0,0.764,Toxin
Pep_998,0.457,0,0,0.457,Non-Toxin
Pep_999,0.463,0,0,0.463,Non-Toxin
Pep_1000,0.486,0,0,0.486,Non-Toxin
Pep_1001,0.533,0,0,0.533,Non-Toxin
Pep_1002,0.586,0,0,0.586,Non-Toxin
Pep_1003,0.711,0,0,0.711,Toxin
Pep_1004,0.789,0,0,0.789,Toxin
Pep_1005,0.845,0,0,0.845,Toxin
Pep_1006,0.538,0,0,0.538,Non-Toxin
Pep_1007,0.541,0,0,0.541,Non-Toxin
Pep_1008,0.554,0,0,0.554,Non-Toxin
Pep_1009,0.593,0,0,0.593,Non-Toxin
Pep_1010,0.575,0,0,0.575,Non-Toxin
Pep_1011,0.58,0,0,0.58,Non-Toxin
Pep_1012,0.698,0,0,0.698,Toxin
Pep_1013,0.563,0,0,0.563,Non-Toxin
Pep_1014,0.572,0,0,0.572,Non-Toxin
Pep_1015,0.805,0,0,0.805,Toxin
Pep_1016,0.689,0,0,0.689,Toxin
Pep_1017,0.808,0,0,0.808,Toxin
Pep_1018,0.664,0,0,0.664,Toxin
Pep_1019,0.613,0,0,0.613,Toxin
Pep_1020,0.633,0,0,0.633,Toxin
Pep_1021,0.953,0,0,0.953,Toxin
Pep_1022,0.934,0,0,0.934,Toxin
Pep_1023,0.65,0,0,0.65,Toxin
Pep_1024,0.497,0,0,0.497,Non-Toxin
